"Corvus_corone","Pica_pica","Corvus_corax","Garrulus_glandarius","Temperature","Habitat","Site"
"1",7,0,0,0,1,4,17
"2",17,4,2,1,1,4,20
"3",1,0,0,1,1,2,25
"4",7,2,1,5,2,2,27
"5",9,9,0,0,2,4,29
"6",1,1,8,0,2,2,30
"7",7,8,0,1,1,4,34
"8",10,4,2,0,1,1,36
"9",4,1,0,1,1,4,37
"10",6,8,0,0,2,4,44
"11",6,1,0,2,2,2,47
"12",0,0,1,1,1,1,53
"13",7,1,5,1,1,2,59
"14",6,0,1,0,2,2,60
"15",3,0,1,0,2,4,63
"16",10,4,0,0,2,4,69
"17",11,28,0,1,2,4,70
"18",7,10,1,3,2,4,77
"19",1,0,0,2,2,2,86
"20",5,0,4,1,2,2,95
"21",4,1,7,2,2,1,96
"22",15,1,0,0,2,3,97
"23",11,0,0,0,1,2,101
"24",0,0,0,2,1,2,104
"25",8,7,0,0,1,2,105
"26",1,1,0,0,1,2,106
"27",3,0,1,1,1,2,112
"28",4,0,1,1,1,1,113
"29",2,3,1,2,1,1,115
"30",0,0,0,0,1,1,119
"31",4,0,0,0,1,1,120
"32",0,0,1,1,1,2,121
"33",1,0,2,0,1,2,149
"34",8,5,1,0,1,4,150
"35",2,0,0,0,1,1,154
"36",5,4,0,0,1,2,167
"37",0,0,0,1,1,2,169
"38",3,0,0,1,1,2,186
"39",3,1,0,1,1,2,189
"40",0,1,0,0,1,4,203
"41",4,0,2,3,1,4,225
"42",6,0,1,1,1,2,226
"43",0,4,0,1,1,1,257
"44",3,0,0,1,1,1,259
"45",1,2,0,0,1,1,260
"46",0,0,1,0,1,2,261
"47",0,0,1,1,1,2,262
"48",4,0,0,0,1,1,283
"49",0,0,0,0,1,1,286
"50",1,0,0,1,1,2,299
"51",18,1,3,1,1,4,302
"52",0,0,1,0,1,2,319
"53",2,0,0,1,1,2,322
"54",1,0,2,0,1,2,328
"55",0,0,0,0,1,2,329
"56",0,0,0,0,1,1,334
"57",0,0,0,0,0,3,371
"58",4,6,0,0,1,4,384
"59",0,0,0,0,0,2,395
"60",1,0,0,0,0,2,396
"61",0,0,2,0,0,2,419
"62",0,0,2,0,0,2,420
"63",0,0,0,0,0,2,429
"64",0,0,0,0,0,2,430
"65",0,0,4,0,0,5,438
"66",2,0,0,0,0,2,442
"67",2,0,0,1,0,2,444
"68",1,0,0,0,0,1,462
"69",2,0,1,0,0,2,463
"70",2,2,13,0,0,3,472
"71",0,0,3,0,0,2,478
"72",0,0,1,0,0,2,483
"73",0,0,0,0,0,2,491
"74",0,0,0,0,0,2,493
"75",0,0,0,0,0,2,554
"76",0,0,0,0,0,3,609
